type,code,name,ISIN,start,market,group,CFI
,6827,巨生醫,TW0006827009,2021/10/19,興櫃,生技醫療業,ESVUFR
,6832,金鼎科,TW0006832009,2021/09/29,興櫃,其他業,ESVUFR
,6833,太康精密,TW0006833007,2021/06/01,興櫃,電子零組件業,ESVUFR
,6839,開陽能源,TW0006839004,2021/10/25,興櫃,綠能環保,ESVUFR
,6842,瑞宇,TW0006842008,2021/09/30,興櫃,半導體業,ESVUFR
,6847,普瑞博,TW0006847007,2021/11/05,興櫃,生技醫療業,ESVUFR
,6848,拉法醫,TW0006848005,2021/10/25,興櫃,生技醫療業,ESVUFR
,6849,奇鼎科技,TW0006849003,2024/11/22,興櫃,其他電子業,ESVUFR
,6850,光鼎生技,TW0006850001,2021/11/10,興櫃,生技醫療業,ESVUFR
,6857,宏碁智醫,TW0006857006,2022/03/03,興櫃,生技醫療業,ESVUFR
,6858,愛比科技,TW0006858004,2022/01/11,興櫃,電腦及週邊設備業,ESVUFR
,6864,元樟生技,TW0006864002,2021/12/29,興櫃,生技醫療業,ESVUFR
,6867,坦德科技,TW0006867005,2022/06/23,興櫃,光電業,ESVUFR
,6868,采威國際,TW0006868003,2022/01/13,興櫃,資訊服務業,ESVUFR
,6876,朗齊生醫*,TW0006876006,2024/01/18,興櫃,生技醫療業,ESVUFR
,6878,歐付寶,TW0006878002,2022/03/17,興櫃,金融保險業,ESVUFR
,6879,大江基因,TW0006879000,2022/05/25,興櫃,生技醫療業,ESVUFR
,6882,甲尚,TW0006882004,2022/04/26,興櫃,資訊服務業,ESVUFR
,6883,微電能源,TW0006883002,2024/07/19,興櫃,綠能環保,ESVUFR
,6886,遠東生技,TW0006886005,2023/04/27,興櫃,食品工業,ESVUFR
,6891,樂迦再生,TW0006891005,2022/07/12,興櫃,生技醫療業,ESVUFR
,6892,台寶生醫,TW0006892003,2022/09/07,興櫃,生技醫療業,ESVUFR
,6898,程曦資訊,TW0006898000,2022/09/30,興櫃,資訊服務業,ESVUFR
,6911,群運,TW0006911001,2022/10/20,興櫃,其他業,ESVUFR
,6912,益鈞環科*,TW0006912009,2022/10/19,興櫃,綠能環保,ESVUFR
,6915,美強光,TW0006915002,2022/11/03,興櫃,電子零組件業,ESVUFR
,6917,竟天,TW0006917008,2023/01/12,興櫃,生技醫療業,ESVUFR
,6920,恆勁科技,TW0006920002,2023/01/10,興櫃,半導體業,ESVUFR
,6926,聖安生醫,TW0006926009,2022/11/25,興櫃,生技醫療業,ESVUFR
