type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,079903,創意凱基38購08,TW24Z0799039,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079904,創意凱基38購09,TW24Z0799047,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079905,創意凱基39購07,TW24Z0799054,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079906,晶相光凱基38購04,TW24Z0799062,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079907,材料凱基38購06,TW24Z0799070,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079908,豐藝凱基39購01,TW24Z0799088,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079909,穎崴凱基38購01,TW24Z0799096,2024/02/20,上市,,RWSCCA
上市認購(售)權證,07990T,臺股指元富3A售31,TW24Z07990T4,2024/04/24,上市,,RWICPE
上市認購(售)權證,079910,采鈺凱基38購05,TW24Z0799104,2024/02/20,上市,,RWSCCA
上市認購(售)權證,079911,亞力統一42購02,TW24Z0799112,2024/02/20,上市,,RWSCCA
